Month,Mean_Return,Min_Return,Max_Return,Volatility,Ticker,Month_Num,Year,Volatility_Level,Prev_Month_Return,momentum_rsi,trend_macd,volatility_bbm,trend_ema_fast
2024-12-01,0.0011212343042939,-0.0359195430638062,0.035119680642609,0.0185652276788354,META,12,2024,Low,0.0006986326306776,58.421298597272695,8.500540265146757,591.8991069975353,599.7043754091446
2025-01-01,0.0083302190052512,-0.0231453642390756,0.0422903793824915,0.0176006252299898,META,1,2025,Low,0.0011212343042939,59.44831793395929,7.304051078069364,610.6398867797851,616.0350119685088
2025-02-01,-0.0015158591749535,-0.0275564723171062,0.0246387940802228,0.0151994944616205,META,2,2025,Low,0.0083302190052512,66.03700765678565,21.4218347794472,676.7455036364104,690.6418419359596
2025-03-01,-0.0066328963357253,-0.0466782779627539,0.0379035229952831,0.0266477163233219,META,3,2025,Medium,-0.0015158591749535,38.81938083372342,-14.569818236861817,650.0191480364118,630.0719448137883
2025-04-01,-0.0012635497426201,-0.0895826523979187,0.1475560887902771,0.0475916194613326,META,4,2025,Medium,-0.0066328963357253,39.835682416943435,-23.91127671817062,564.6091278076171,550.1350812359093
2024-05-01,0.0027032741226208,-0.0449728632734386,0.020338974494636,0.0143380712140418,JPM,5,2024,Low,,44.47148802625102,-5.089862612522719,189.12638095508922,191.27992130188738
2024-06-01,-3.199095532245201e-05,-0.0263012598464982,0.0155143715431578,0.0116210802516345,JPM,6,2024,Low,0.0027032741226208,47.528890116321556,-0.8941002896659965,193.96069869995117,193.25133082544886
2024-07-01,0.0026533117183631,-0.0317702169519338,0.0249341364292254,0.0137093805187718,JPM,7,2024,Low,-3.199095532245201e-05,61.472535764999996,2.6661791225225615,199.61387297890403,202.39476114121143
2024-08-01,0.00260259912037,-0.0424120666946449,0.0279117781129711,0.0148083263743993,JPM,8,2024,Low,0.0026533117183631,56.80227973724422,1.455538098119012,205.1763522755016,205.9650762600182
2024-09-01,-0.0030722464167397,-0.0518887983210235,0.0204743889082268,0.0159817244968421,JPM,9,2024,Low,0.00260259912037,48.21161961934285,0.45214643509901153,210.65379596710204,209.3894646293934
2024-10-01,0.0025901856117555,-0.0181162979305526,0.0443994588190597,0.0144780217577095,JPM,10,2024,Low,-0.0030722464167397,59.60823903148477,1.9233199434561925,210.25707845273226,213.01013783628866
2024-11-01,0.0062926939517229,-0.0432283389365615,0.1154454380017084,0.02880402957298,JPM,11,2024,Medium,0.0025901856117555,65.08300764114838,5.647893445046458,227.52945545196536,231.74498442911562
2024-12-01,-0.0018802988787241,-0.0335207224196622,0.0199176077593301,0.0117317636625403,JPM,12,2024,Low,0.0062926939517229,51.69872943744568,2.2204204856918777,240.8751295907157,239.73260577220853
2025-01-01,0.0057611785956333,-0.0134084993998568,0.0197195728321315,0.009224426375331,JPM,1,2025,Low,-0.0018802988787241,66.92566228932574,3.663439107887355,242.486999168396,246.89735485739092
2025-02-01,-0.0004099833985597,-0.0445837993228175,0.0239248515022136,0.015447871760362,JPM,2,2025,Low,0.0057611785956333,63.12084220109347,5.58316299484715,264.8789457622327,267.08453848803936
2025-03-01,-0.0034309059179423,-0.0415221376732407,0.0321950139987807,0.0192792630943557,JPM,3,2025,Low,-0.0004099833985597,38.35376874932213,-5.201803830809145,251.6649570283436,245.59051867650157
2025-04-01,0.0006962573125323,-0.0748383524402178,0.0805551787432055,0.0334274410437728,JPM,4,2025,Medium,-0.0034309059179423,46.57770985362775,-3.2948080625338823,235.08286129179456,234.62748586961789
2024-05-01,0.0010250822077538,-0.0127870615985781,0.015568607870686,0.0078952954106034,V,5,2024,Low,,51.40237714108634,0.4113785824403067,271.706874778054,272.45384640421
2024-06-01,-0.0019130701564241,-0.02562124597823,0.0116952974126163,0.0103476101070541,V,6,2024,Low,0.0010250822077538,48.118165372510404,-0.35214630808203956,272.2702295403731,271.58609752620794
2024-07-01,0.0006426425444057,-0.0401071300416518,0.0225427325188729,0.0137955386090694,V,7,2024,Low,-0.0019130701564241,43.67685347745942,-2.009640800488303,266.751204958829,265.0453893464272
2024-08-01,0.0019502070980659,-0.0380373072775008,0.0216740124953096,0.011389083331532,V,8,2024,Low,0.0006426425444057,52.7161707220014,-0.5871336951517957,261.38381659767845,262.06910891117326
